topic,class,count,avg_lat_ms,p95_lat_ms,p99_lat_ms,jitter_std_ms,ipdv_std_ms,deadline_missrate_1ms,deadline_missrate_2ms,loss_rate
/control/command/actuation_cmd,Critical,11915,0.29,1.048,1.73,0.347,0.523,0.056064,,0.0
/control/command/control_cmd,Critical,11923,0.276,0.965,1.612,0.326,0.488,0.046633,,0.0
/control/command/emergency_cmd,Critical,11885,0.284,0.974,1.632,0.33,0.491,0.047371,,0.0
/control/command/gear_cmd,Critical,5954,0.297,0.662,1.042,0.207,0.29,0.012261,,0.0
/control/trajectory_follower/control_cmd,Critical,11923,0.224,0.701,1.209,0.234,0.351,0.019542,,0.0
/system/emergency/control_cmd,Critical,11907,0.189,0.298,1.321,0.212,0.301,0.016377,,0.0
/system/emergency/gear_cmd,Critical,5952,0.177,0.27,1.206,0.195,0.274,0.014113,,0.0
/system/emergency_holding,Critical,5934,0.204,0.483,1.782,0.283,0.397,0.031008,,0.0
/system/fail_safe/mrm_state,Critical,5942,0.204,0.343,1.644,0.26,0.362,0.024739,,0.0
/control/command/hazard_lights_cmd,Soft Real-Time,5930,0.287,0.661,1.177,0.216,0.302,,0.001349,0.0
/control/command/turn_indicators_cmd,Soft Real-Time,5958,0.262,0.524,0.82,0.165,0.231,,0.001007,0.0
/localization/kinematic_state,Soft Real-Time,11889,1.093,3.198,4.263,1.205,2.121,,0.266633,0.0
/localization/pose_estimator/pose,Soft Real-Time,5939,1.579,3.318,3.976,1.12,0.82,,0.352585,0.0
/localization/pose_estimator/pose_with_covariance,Soft Real-Time,5939,1.655,3.394,4.083,1.17,0.84,,0.414211,0.0
/localization/pose_twist_fusion_filter/pose,Soft Real-Time,11867,0.79,2.801,3.702,0.901,1.512,,0.100784,0.0
/localization/pose_twist_fusion_filter/twist,Soft Real-Time,11913,0.974,3.14,4.059,1.12,1.912,,0.198271,0.0
/localization/pose_twist_fusion_filter/twist_with_covariance,Soft Real-Time,11917,0.953,3.031,3.789,1.084,1.864,,0.198708,0.0
/localization/pose_with_covariance,Soft Real-Time,11887,0.852,2.89,3.693,0.954,1.625,,0.128796,0.0
/localization/twist_estimator/twist_with_covariance,Soft Real-Time,11901,1.852,4.428,4.694,1.581,2.921,,0.462986,0.0
/sensing/gnss/pose_with_covariance,Soft Real-Time,1173,0.233,0.285,0.546,0.142,0.197,,0.002558,0.0
/sensing/imu/imu_data,Soft Real-Time,11923,0.24,0.281,1.645,0.26,0.371,,0.0078,0.0
/sensing/vehicle_velocity_converter/twist_with_covariance,Soft Real-Time,11885,1.635,3.883,4.583,1.356,2.575,,0.470677,0.0
/system/emergency/hazard_lights_cmd,Soft Real-Time,5952,0.208,0.349,1.805,0.276,0.386,,0.007056,0.0
/system/emergency/hazard_status,Soft Real-Time,5952,0.327,0.548,2.158,0.331,0.465,,0.013273,0.0
/system/mrm/emergency_stop/status,Soft Real-Time,11907,0.173,0.292,1.467,0.23,0.333,,0.005711,0.0
/vehicle/status/actuation_status,Soft Real-Time,11934,0.138,0.202,0.615,0.154,0.214,,0.00243,0.0
/vehicle/status/control_mode,Soft Real-Time,11934,0.127,0.17,0.997,0.178,0.25,,0.002765,0.0
/vehicle/status/gear_status,Soft Real-Time,11936,0.117,0.153,0.868,0.166,0.232,,0.002095,0.0
/vehicle/status/steering_status,Soft Real-Time,11933,0.143,0.215,1.168,0.211,0.298,,0.004358,0.0
/vehicle/status/velocity_status,Soft Real-Time,11935,0.131,0.196,0.518,0.137,0.189,,0.001005,0.0
/perception/object_recognition/detection/centerpoint/objects,Perception,5951,3.029,5.503,6.425,2.087,1.019,,,0.001007
/perception/object_recognition/detection/detection_by_tracker/objects,Perception,5927,3.255,6.013,6.89,2.263,1.223,,,0.001011
/perception/object_recognition/detection/objects,Perception,5962,2.502,4.925,5.857,1.826,1.15,,,0.001005
/perception/object_recognition/objects,Perception,5945,0.232,0.294,1.371,0.276,0.353,,,0.0
/perception/object_recognition/prediction/maneuver,Perception,5947,0.222,0.276,1.287,0.28,0.341,,,0.0
/perception/object_recognition/tracking/objects,Perception,5968,0.238,0.285,0.73,0.24,0.298,,,0.0
/perception/occupancy_grid_map/map,Perception,5937,5.007,7.68,8.416,2.737,1.206,,,0.0
/sensing/camera/main/image_raw,Perception,5962,12.464,13.517,14.265,0.731,0.765,,,0.0
/sensing/lidar/concatenated/pointcloud,Perception,5951,2.299,12.154,12.624,2.864,3.199,,,0.0
/sensing/lidar/top/pointcloud,Perception,5938,3.642,13.064,13.6,3.674,3.894,,,0.000673
/control/autonomous_emergency_braking/debug/markers,Best-Effort,6567,1.836,4.168,5.121,1.221,1.681,,,0.0
/control/autonomous_emergency_braking/debug/processing_time_detail_ms,Best-Effort,6567,1.438,3.868,4.833,1.226,1.693,,,0.0
/control/autonomous_emergency_braking/metrics,Best-Effort,6568,1.614,4.053,5.065,1.266,1.75,,,0.0
/control/autonomous_emergency_braking/virtual_wall,Best-Effort,6567,1.802,4.254,5.328,1.3,1.791,,,0.0
/control/autoware_operation_mode_transition_manager/debug_info,Best-Effort,5958,1.576,3.917,5.031,1.252,1.756,,,0.0
/control/command/control_cmd/debug/published_time,Best-Effort,11904,1.373,4.13,5.05,1.376,2.164,,,8.4e-05
/control/control_evaluator/debug/processing_time_ms,Best-Effort,5956,1.489,3.896,5.067,1.251,1.754,,,0.0
/control/control_evaluator/metrics,Best-Effort,5960,1.149,3.444,4.817,1.149,1.637,,,0.0
/control/control_validator/debug/marker,Best-Effort,11941,1.355,4.135,5.326,1.36,2.199,,,8.4e-05
/control/control_validator/debug/processing_time_ms,Best-Effort,11942,1.354,4.154,5.291,1.379,2.222,,,8.4e-05
/control/control_validator/validation_status,Best-Effort,11941,1.242,4.038,5.234,1.342,2.185,,,8.4e-05
/control/control_validator/virtual_wall,Best-Effort,11941,1.205,3.926,5.175,1.32,2.144,,,8.4e-05
/control/trajectory_follower/control_cmd/debug/published_time,Best-Effort,11882,1.432,4.243,5.26,1.396,2.225,,,8.4e-05
/control/trajectory_follower/controller_node_exe/debug/predicted_trajectory_in_frenet_coordinate,Best-Effort,11911,1.17,3.918,5.273,1.283,2.166,,,0.0
/control/trajectory_follower/controller_node_exe/debug/resampled_reference_trajectory,Best-Effort,11923,0.92,3.127,4.603,1.071,1.736,,,0.0
/control/trajectory_follower/controller_node_exe/lateral/debug/processing_time_ms,Best-Effort,11867,1.366,4.185,5.412,1.382,2.271,,,0.0
/control/trajectory_follower/controller_node_exe/longitudinal/debug/processing_time_ms,Best-Effort,11920,1.395,4.209,5.291,1.387,2.226,,,8.4e-05
/control/trajectory_follower/controller_node_exe/output/debug_marker,Best-Effort,11912,1.386,4.187,5.226,1.389,2.208,,,8.4e-05
/control/trajectory_follower/controller_node_exe/output/estimated_steer_offset,Best-Effort,11915,1.246,4.005,5.345,1.33,2.204,,,0.0
/control/trajectory_follower/lane_departure_checker_node/debug/deviation/lateral,Best-Effort,5956,1.681,4.006,5.12,1.226,1.705,,,0.0
/control/trajectory_follower/lane_departure_checker_node/debug/deviation/yaw,Best-Effort,5958,1.533,3.782,4.939,1.185,1.647,,,0.0
/control/trajectory_follower/lane_departure_checker_node/debug/deviation/yaw_deg,Best-Effort,5960,1.3,3.528,4.724,1.139,1.586,,,0.0
/control/trajectory_follower/lane_departure_checker_node/debug/marker_array,Best-Effort,5960,1.572,3.872,4.943,1.195,1.656,,,0.0
/control/trajectory_follower/lane_departure_checker_node/debug/processing_time_ms,Best-Effort,5970,1.341,3.772,4.917,1.236,1.714,,,0.0
/control/trajectory_follower/lane_departure_checker_node/debug/processing_time_ms_diag,Best-Effort,5969,1.214,3.48,4.767,1.153,1.6,,,0.0
/control/trajectory_follower/lateral/diagnostic,Best-Effort,11917,1.158,3.897,5.228,1.299,2.159,,,0.0
/control/trajectory_follower/lateral/predicted_trajectory,Best-Effort,11911,1.309,4.023,5.391,1.33,2.194,,,0.0
/control/trajectory_follower/longitudinal/diagnostic,Best-Effort,11915,1.367,4.157,5.377,1.375,2.251,,,0.0
/control/vehicle_cmd_gate/debug/processing_time_ms,Best-Effort,5946,1.907,4.446,5.575,1.352,1.901,,,0.0
/control/vehicle_cmd_gate/is_filter_activated/marker_raw,Best-Effort,11866,1.447,4.228,5.177,1.392,2.202,,,8.4e-05
/localization/debug/ellipse_marker,Best-Effort,11917,1.525,4.53,5.627,1.587,2.809,,,0.0
/localization/pose_estimator/exe_time_ms,Best-Effort,5944,2.378,4.906,6.027,1.595,1.188,,,0.0
/localization/pose_twist_fusion_filter/debug/processing_time_ms,Best-Effort,11891,1.601,4.766,5.735,1.664,2.95,,,0.0
/localization/pose_twist_fusion_filter/debug/stop_flag,Best-Effort,11881,1.48,4.488,5.575,1.523,2.679,,,0.0
/localization/pose_twist_fusion_filter/pose_instability_detector/debug/diff_pose,Best-Effort,1187,0.486,1.656,2.976,0.557,0.784,,,0.0
/localization/util/crop_box_filter_measurement_range/debug/cyclic_time_ms,Best-Effort,5955,1.006,3.051,4.049,1.063,1.11,,,0.0
/localization/util/crop_box_filter_measurement_range/debug/pipeline_latency_ms,Best-Effort,5951,1.181,3.316,4.583,1.127,1.167,,,0.0
/localization/util/crop_box_filter_measurement_range/debug/processing_time_ms,Best-Effort,5953,1.084,3.162,4.197,1.093,1.136,,,0.0
/localization/util/downsample/pointcloud/debug/published_time,Best-Effort,5942,2.681,5.094,6.226,1.456,1.428,,,0.0
/localization/util/measurement_range/pointcloud/debug/published_time,Best-Effort,5941,1.727,3.979,5.035,1.169,1.304,,,0.0
/localization/util/voxel_grid_downsample/pointcloud/debug/published_time,Best-Effort,5942,2.424,4.764,5.909,1.304,1.476,,,0.0
/perception/object_recognition/detection/centerpoint/lidar_centerpoint/debug/cyclic_time_ms,Best-Effort,5942,2.94,5.084,5.762,1.519,1.442,,,0.0
/perception/object_recognition/detection/centerpoint/lidar_centerpoint/debug/pipeline_latency_ms,Best-Effort,5956,2.642,4.893,5.606,1.536,1.407,,,0.0
/perception/object_recognition/detection/centerpoint/lidar_centerpoint/debug/processing_time_ms,Best-Effort,5936,3.055,5.164,5.896,1.514,1.458,,,0.0
/perception/object_recognition/detection/centerpoint/objects/debug/published_time,Best-Effort,5946,2.65,4.92,5.701,1.522,1.4,,,0.0
/perception/object_recognition/detection/centerpoint/validation/objects/debug/published_time,Best-Effort,5954,2.512,4.813,5.574,1.518,1.38,,,0.0
/perception/object_recognition/detection/clustering/debug/clusters,Best-Effort,5948,2.186,4.465,5.36,1.378,1.207,,,0.0
/perception/object_recognition/detection/clustering/objects/debug/published_time,Best-Effort,5952,2.801,5.082,5.878,1.571,1.454,,,0.0
/perception/object_recognition/detection/clustering/objects_with_feature/debug/published_time,Best-Effort,5956,2.28,4.579,5.463,1.45,1.245,,,0.0
/perception/object_recognition/detection/clustering/shape_estimation/debug/cyclic_time_ms,Best-Effort,5946,2.678,4.954,5.828,1.522,1.402,,,0.0
/perception/object_recognition/detection/clustering/shape_estimation/debug/processing_time_ms,Best-Effort,5938,2.979,5.239,6.017,1.554,1.482,,,0.0
/perception/object_recognition/detection/clustering/voxel_grid_based_euclidean_cluster/debug/cyclic_time_ms,Best-Effort,5946,2.356,4.627,5.489,1.42,1.26,,,0.0
