topic,class,count,avg_lat_ms,p95_lat_ms,p99_lat_ms,jitter_std_ms,ipdv_std_ms,deadline_missrate_1ms,deadline_missrate_2ms,loss_rate
/control/command/actuation_cmd,Critical,11637,0.559,1.35,3.542,0.524,0.752,0.06445,,0.0
/control/command/control_cmd,Critical,11641,0.531,1.244,3.461,0.517,0.738,0.057727,,0.0
/control/command/emergency_cmd,Critical,11622,0.514,1.187,3.377,0.513,0.734,0.056703,,0.0
/control/command/gear_cmd,Critical,5813,0.478,1.49,3.886,0.628,0.905,0.071908,,0.0
/control/trajectory_follower/control_cmd,Critical,11635,0.413,0.765,3.022,0.458,0.649,0.042888,,0.0
/system/emergency/control_cmd,Critical,11840,0.246,0.396,1.161,0.187,0.27,0.010895,,0.0
/system/emergency/gear_cmd,Critical,5918,0.228,0.401,0.552,0.161,0.224,0.006928,,0.0
/system/emergency_holding,Critical,5907,0.377,0.623,1.52,0.25,0.35,0.021669,,0.0
/system/fail_safe/mrm_state,Critical,5911,0.313,0.516,1.416,0.23,0.322,0.015903,,0.0
/control/command/hazard_lights_cmd,Soft Real-Time,5801,0.691,1.91,4.278,0.694,1.001,,0.048612,0.0
/control/command/turn_indicators_cmd,Soft Real-Time,5815,0.66,1.698,4.059,0.643,0.925,,0.042132,0.0
/localization/kinematic_state,Soft Real-Time,11839,2.171,31.893,32.732,7.098,10.299,,0.073486,0.0
/localization/pose_estimator/pose,Soft Real-Time,5916,4.787,31.204,32.221,10.827,16.586,,0.150778,0.0
/localization/pose_estimator/pose_with_covariance,Soft Real-Time,5916,4.835,31.118,32.167,10.764,16.489,,0.150101,0.0
/localization/pose_twist_fusion_filter/pose,Soft Real-Time,11828,0.801,1.214,32.235,3.342,4.716,,0.029168,0.0
/localization/pose_twist_fusion_filter/twist,Soft Real-Time,11851,1.491,2.119,32.71,5.528,7.923,,0.051557,0.0
/localization/pose_twist_fusion_filter/twist_with_covariance,Soft Real-Time,11853,1.52,2.015,32.703,5.668,8.131,,0.050198,0.0
/localization/pose_with_covariance,Soft Real-Time,11838,1.103,1.499,32.543,4.479,6.367,,0.036915,0.0
/localization/twist_estimator/twist_with_covariance,Soft Real-Time,11846,3.93,32.182,32.604,9.905,14.813,,0.122911,0.0
/sensing/gnss/pose_with_covariance,Soft Real-Time,1166,0.456,0.527,1.11,1.024,1.123,,0.007719,0.0
/sensing/imu/imu_data,Soft Real-Time,11856,0.416,0.49,1.55,0.942,1.166,,0.008097,0.0
/sensing/vehicle_velocity_converter/twist_with_covariance,Soft Real-Time,11838,3.939,32.376,32.702,9.967,14.91,,0.124176,0.0
/system/emergency/hazard_lights_cmd,Soft Real-Time,5918,0.492,1.478,2.349,0.538,0.765,,0.013687,0.0
/system/emergency/hazard_status,Soft Real-Time,5918,1.445,1.655,2.93,0.294,0.415,,0.031936,0.0
/system/mrm/emergency_stop/status,Soft Real-Time,11840,0.362,1.372,1.864,0.437,0.665,,0.009628,0.0
/vehicle/status/actuation_status,Soft Real-Time,11867,0.239,0.424,1.329,0.234,0.332,,0.004382,0.0
/vehicle/status/control_mode,Soft Real-Time,11867,0.336,0.683,1.539,0.277,0.39,,0.006826,0.0
/vehicle/status/gear_status,Soft Real-Time,11868,0.349,0.72,1.489,0.278,0.394,,0.00632,0.0
/vehicle/status/steering_status,Soft Real-Time,11866,0.351,0.683,1.596,0.288,0.407,,0.008596,0.0
/vehicle/status/velocity_status,Soft Real-Time,11868,0.282,0.517,1.323,0.244,0.342,,0.004971,0.0
/perception/object_recognition/detection/centerpoint/objects,Perception,5925,37.226,64.275,75.563,13.147,15.95,,,0.0
/perception/object_recognition/detection/detection_by_tracker/objects,Perception,5913,37.863,64.67,75.675,12.8,15.507,,,0.0
/perception/object_recognition/detection/objects,Perception,5933,36.736,63.66,74.771,12.868,15.518,,,0.0
/perception/object_recognition/objects,Perception,5918,13.389,24.704,35.491,6.372,8.512,,,0.0
/perception/object_recognition/prediction/maneuver,Perception,5919,13.077,24.519,35.492,6.345,8.471,,,0.0
/perception/object_recognition/tracking/objects,Perception,5932,12.713,25.127,36.097,6.494,8.495,,,0.0
/perception/occupancy_grid_map/map,Perception,5915,40.071,66.753,78.003,12.817,15.51,,,0.0
/sensing/camera/main/image_raw,Perception,3099,356.764,387.18,399.8,22.38,40.116,,,0.466885
/sensing/lidar/concatenated/pointcloud,Perception,4310,272.394,354.109,368.801,44.808,58.759,,,0.258048
/sensing/lidar/top/pointcloud,Perception,4209,284.737,365.549,376.688,45.409,59.164,,,0.274935
/control/autonomous_emergency_braking/debug/markers,Best-Effort,1655,1258.667,1525.603,1606.664,194.36,274.007,,,0.740961
/control/autonomous_emergency_braking/debug/processing_time_detail_ms,Best-Effort,1782,1266.335,1539.627,1621.166,203.439,290.199,,,0.721083
/control/autonomous_emergency_braking/metrics,Best-Effort,1726,1264.963,1536.227,1619.445,200.114,283.699,,,0.72989
/control/autonomous_emergency_braking/virtual_wall,Best-Effort,1678,1261.351,1532.91,1616.937,197.472,277.669,,,0.737361
/control/autoware_operation_mode_transition_manager/debug_info,Best-Effort,1571,1259.088,1537.138,1620.986,203.15,295.697,,,0.729091
/control/command/control_cmd/debug/published_time,Best-Effort,2967,1300.673,1586.137,1669.524,205.147,247.996,,,0.744422
/control/control_evaluator/debug/processing_time_ms,Best-Effort,1583,1258.504,1539.336,1621.98,206.157,299.969,,,0.726975
/control/control_evaluator/metrics,Best-Effort,1609,1259.486,1540.409,1623.498,212.279,302.881,,,0.722586
/control/control_validator/debug/marker,Best-Effort,2974,1299.811,1586.496,1669.997,205.556,249.71,,,0.744238
/control/control_validator/debug/processing_time_ms,Best-Effort,2969,1299.851,1586.447,1669.654,205.526,249.663,,,0.74469
/control/control_validator/validation_status,Best-Effort,2976,1299.405,1586.654,1669.962,205.743,250.004,,,0.744088
/control/control_validator/virtual_wall,Best-Effort,2977,1299.047,1586.564,1669.935,205.885,249.921,,,0.744024
/control/trajectory_follower/control_cmd/debug/published_time,Best-Effort,2966,1300.799,1586.18,1669.87,205.306,248.558,,,0.744134
/control/trajectory_follower/controller_node_exe/debug/predicted_trajectory_in_frenet_coordinate,Best-Effort,3003,1298.325,1587.947,1671.531,207.103,253.281,,,0.741255
/control/trajectory_follower/controller_node_exe/debug/resampled_reference_trajectory,Best-Effort,3079,1297.974,1590.054,1672.675,210.594,255.102,,,0.734843
/control/trajectory_follower/controller_node_exe/lateral/debug/processing_time_ms,Best-Effort,2972,1299.969,1586.254,1670.227,205.266,248.553,,,0.743439
/control/trajectory_follower/controller_node_exe/longitudinal/debug/processing_time_ms,Best-Effort,2968,1300.343,1586.628,1669.886,205.305,249.467,,,0.74438
/control/trajectory_follower/controller_node_exe/output/debug_marker,Best-Effort,2969,1301.129,1586.63,1669.851,205.294,248.707,,,0.744206
/control/trajectory_follower/controller_node_exe/output/estimated_steer_offset,Best-Effort,2984,1299.392,1586.543,1670.488,205.513,249.244,,,0.742936
/control/trajectory_follower/lane_departure_checker_node/debug/deviation/lateral,Best-Effort,1571,1258.758,1538.246,1621.414,204.578,298.17,,,0.729044
/control/trajectory_follower/lane_departure_checker_node/debug/deviation/yaw,Best-Effort,1567,1257.039,1537.592,1621.201,204.113,297.476,,,0.729781
/control/trajectory_follower/lane_departure_checker_node/debug/deviation/yaw_deg,Best-Effort,1603,1260.758,1539.684,1622.494,211.608,300.945,,,0.723621
