topic,class,count,avg_lat_ms,p95_lat_ms,p99_lat_ms,jitter_std_ms,ipdv_std_ms,deadline_missrate_1ms,deadline_missrate_50ms,loss_rate
/control/command/actuation_cmd,Critical,11585,0.639,0.958,2.173,0.313,0.442,0.044109,,0.0
/control/command/control_cmd,Critical,11589,0.605,0.867,2.093,0.302,0.427,0.039607,,0.0
/control/command/emergency_cmd,Critical,11570,0.606,0.899,2.094,0.305,0.43,0.040017,,0.0
/control/command/gear_cmd,Critical,5786,0.48,0.751,1.762,0.299,0.417,0.032147,,0.0
/control/trajectory_follower/control_cmd,Critical,11582,0.483,0.741,1.885,0.295,0.419,0.02927,,0.0
/system/emergency/control_cmd,Critical,11747,0.413,0.686,0.757,0.154,0.221,0.0,,0.0
/system/emergency/gear_cmd,Critical,5872,0.389,0.631,0.735,0.143,0.2,0.0,,0.0
/system/emergency_holding,Critical,5861,0.536,0.832,0.99,0.175,0.247,0.009384,,0.0
/system/fail_safe/mrm_state,Critical,5865,0.456,0.742,0.838,0.165,0.233,0.0,,0.0
/control/command/hazard_lights_cmd,Soft Real-Time,5774,13.717,21.681,26.127,5.209,6.76,,0.000173,0.0
/control/command/turn_indicators_cmd,Soft Real-Time,5788,3.694,9.302,13.603,3.096,3.487,,0.0,0.0
/localization/kinematic_state,Soft Real-Time,11748,13.386,32.388,42.223,6.624,9.018,,8.5e-05,0.0
/localization/pose_estimator/pose,Soft Real-Time,5869,23.663,45.619,53.403,9.227,13.99,,0.028966,0.0
/localization/pose_estimator/pose_with_covariance,Soft Real-Time,5869,24.218,46.382,53.386,9.167,14.035,,0.031181,0.0
/localization/pose_twist_fusion_filter/pose,Soft Real-Time,11736,6.651,16.416,32.416,5.602,7.952,,0.0,0.0
/localization/pose_twist_fusion_filter/twist,Soft Real-Time,11759,9.786,19.053,32.805,5.911,8.104,,0.0,0.0
/localization/pose_twist_fusion_filter/twist_with_covariance,Soft Real-Time,11761,9.475,19.098,32.779,5.973,8.113,,0.0,0.0
/localization/pose_with_covariance,Soft Real-Time,11746,6.724,15.702,32.692,5.675,7.823,,0.0,0.0
/localization/twist_estimator/twist_with_covariance,Soft Real-Time,11754,15.576,36.462,45.213,9.064,13.272,,0.004084,0.0
/sensing/gnss/pose_with_covariance,Soft Real-Time,1157,1.996,7.94,13.529,2.896,4.044,,0.0,0.0
/sensing/imu/imu_data,Soft Real-Time,11765,1.884,8.692,14.352,3.238,4.723,,0.0,0.0
/sensing/vehicle_velocity_converter/twist_with_covariance,Soft Real-Time,11746,12.52,32.628,44.368,9.564,13.77,,0.001192,0.0
/system/emergency/hazard_lights_cmd,Soft Real-Time,5872,2.193,11.072,11.955,3.584,5.101,,0.0,0.0
/system/emergency/hazard_status,Soft Real-Time,5872,3.542,6.555,8.548,1.358,1.555,,0.0,0.0
/system/mrm/emergency_stop/status,Soft Real-Time,11747,1.47,10.907,12.056,3.103,4.665,,0.0,0.0
/vehicle/status/actuation_status,Soft Real-Time,11774,1.104,10.091,12.22,2.594,3.76,,0.0,0.0
/vehicle/status/control_mode,Soft Real-Time,11774,3.838,11.744,14.361,2.73,4.06,,0.0,0.0
/vehicle/status/gear_status,Soft Real-Time,11775,5.134,12.045,14.857,2.529,3.719,,0.0,0.0
/vehicle/status/steering_status,Soft Real-Time,11773,3.554,11.333,13.765,2.553,3.695,,0.0,0.0
/vehicle/status/velocity_status,Soft Real-Time,11775,2.295,10.794,12.652,2.58,3.745,,0.0,0.0
/perception/object_recognition/detection/centerpoint/objects,Perception,5872,29.819,53.699,55.822,10.276,15.512,,,0.001021
/perception/object_recognition/detection/detection_by_tracker/objects,Perception,5860,30.344,53.965,56.166,10.009,15.309,,,0.001023
/perception/object_recognition/detection/objects,Perception,5881,29.224,52.991,55.165,10.069,15.326,,,0.000849
/perception/object_recognition/objects,Perception,5872,11.957,23.48,25.405,5.278,7.938,,,0.0
/perception/object_recognition/prediction/maneuver,Perception,5873,11.61,23.448,25.441,5.173,7.863,,,0.0
/perception/object_recognition/tracking/objects,Perception,5886,11.027,23.753,25.714,5.048,7.664,,,0.0
/perception/occupancy_grid_map/map,Perception,5868,32.6,56.227,58.128,10.019,15.329,,,0.0
/sensing/camera/main/image_raw,Perception,3092,357.317,388.205,399.704,22.168,39.832,,,0.465607
/sensing/lidar/concatenated/pointcloud,Perception,4282,272.249,354.448,368.769,44.82,58.408,,,0.259426
/sensing/lidar/top/pointcloud,Perception,4192,284.766,366.136,376.651,45.63,59.373,,,0.274489
/control/autonomous_emergency_braking/debug/markers,Best-Effort,1745,1265.601,1487.918,1622.533,283.047,296.089,,,0.724546
/control/autonomous_emergency_braking/debug/processing_time_detail_ms,Best-Effort,1827,1266.842,1567.679,1659.194,293.039,307.063,,,0.711966
/control/autonomous_emergency_braking/metrics,Best-Effort,1788,1267.515,1554.604,1657.741,292.184,301.205,,,0.717803
/control/autonomous_emergency_braking/virtual_wall,Best-Effort,1748,1264.888,1496.254,1622.361,284.93,298.516,,,0.724073
/control/autoware_operation_mode_transition_manager/debug_info,Best-Effort,1635,1256.377,1561.936,1623.349,250.667,319.893,,,0.715652
/control/command/control_cmd/debug/published_time,Best-Effort,2730,1316.879,1607.591,1665.011,243.003,263.264,,,0.763432
/control/control_evaluator/debug/processing_time_ms,Best-Effort,1632,1253.754,1559.088,1622.786,252.106,321.207,,,0.71647
/control/control_evaluator/metrics,Best-Effort,1644,1251.031,1564.646,1623.058,252.744,321.675,,,0.714484
/control/control_validator/debug/marker,Best-Effort,2735,1326.401,1610.072,1676.786,286.019,263.42,,,0.763613
/control/control_validator/debug/processing_time_ms,Best-Effort,2732,1327.069,1610.21,1678.613,291.065,262.964,,,0.763892
/control/control_validator/validation_status,Best-Effort,2738,1326.903,1609.979,1678.58,290.621,263.383,,,0.763374
/control/control_validator/virtual_wall,Best-Effort,2740,1328.056,1610.369,1680.919,295.389,263.409,,,0.763222
/control/trajectory_follower/control_cmd/debug/published_time,Best-Effort,2719,1318.687,1608.596,1668.553,243.028,263.034,,,0.764037
/control/trajectory_follower/controller_node_exe/debug/predicted_trajectory_in_frenet_coordinate,Best-Effort,2755,1319.798,1613.086,1673.852,251.093,266.695,,,0.761431
/control/trajectory_follower/controller_node_exe/debug/resampled_reference_trajectory,Best-Effort,2772,1313.34,1613.47,1674.416,254.74,274.763,,,0.760083
/control/trajectory_follower/controller_node_exe/lateral/debug/processing_time_ms,Best-Effort,2717,1318.201,1608.847,1669.807,243.948,263.321,,,0.764272
/control/trajectory_follower/controller_node_exe/longitudinal/debug/processing_time_ms,Best-Effort,2719,1318.446,1609.321,1668.793,244.131,263.454,,,0.76465
/control/trajectory_follower/controller_node_exe/output/debug_marker,Best-Effort,2724,1318.133,1608.224,1665.838,243.16,263.048,,,0.764135
/control/trajectory_follower/controller_node_exe/output/estimated_steer_offset,Best-Effort,2732,1319.821,1610.016,1672.032,249.649,264.013,,,0.763463
/control/trajectory_follower/lane_departure_checker_node/debug/deviation/lateral,Best-Effort,1624,1256.018,1559.422,1618.996,250.509,318.641,,,0.71786
/control/trajectory_follower/lane_departure_checker_node/debug/deviation/yaw,Best-Effort,1623,1255.57,1559.491,1618.957,250.783,318.892,,,0.718082
/control/trajectory_follower/lane_departure_checker_node/debug/deviation/yaw_deg,Best-Effort,1643,1256.293,1564.459,1619.75,252.27,321.932,,,0.714658
/control/trajectory_follower/lane_departure_checker_node/debug/marker_array,Best-Effort,1624,1257.053,1558.214,1618.925,250.087,318.372,,,0.717958
/control/trajectory_follower/lane_departure_checker_node/debug/processing_time_ms,Best-Effort,1646,1265.387,1565.245,1658.407,302.801,320.598,,,0.714583
/control/trajectory_follower/lane_departure_checker_node/debug/processing_time_ms_diag,Best-Effort,1660,1262.374,1567.77,1641.341,294.637,322.176,,,0.712105
/control/trajectory_follower/lateral/diagnostic,Best-Effort,2731,1319.135,1609.989,1672.004,249.837,264.651,,,0.76357
/control/trajectory_follower/lateral/predicted_trajectory,Best-Effort,2717,1318.06,1609.855,1671.818,244.339,264.388,,,0.764945
/control/trajectory_follower/longitudinal/diagnostic,Best-Effort,2722,1319.336,1609.161,1670.928,243.777,263.737,,,0.764329
/control/vehicle_cmd_gate/debug/processing_time_ms,Best-Effort,1608,1259.853,1553.144,1622.862,249.792,318.028,,,0.720056
/control/vehicle_cmd_gate/is_filter_activated/marker_raw,Best-Effort,2723,1317.482,1607.716,1665.312,243.018,262.808,,,0.763649
/localization/debug/ellipse_marker,Best-Effort,11582,322.117,398.971,403.044,44.612,59.664,,,0.0
/localization/pose_estimator/exe_time_ms,Best-Effort,5782,346.129,399.948,402.825,37.776,54.591,,,0.0
/localization/pose_twist_fusion_filter/debug/processing_time_ms,Best-Effort,11569,322.303,399.073,403.052,44.619,59.909,,,0.0
/localization/pose_twist_fusion_filter/debug/stop_flag,Best-Effort,11564,316.122,397.374,402.647,45.36,58.292,,,0.0
/localization/pose_twist_fusion_filter/pose_instability_detector/debug/diff_pose,Best-Effort,1154,303.074,358.751,366.417,40.534,56.487,,,0.0
/localization/util/crop_box_filter_measurement_range/debug/cyclic_time_ms,Best-Effort,5786,284.686,367.031,396.91,49.217,58.346,,,0.0
/localization/util/crop_box_filter_measurement_range/debug/pipeline_latency_ms,Best-Effort,5784,286.643,367.634,398.978,49.528,58.548,,,0.0
/localization/util/crop_box_filter_measurement_range/debug/processing_time_ms,Best-Effort,5785,285.509,367.245,397.982,49.335,58.372,,,0.0
/localization/util/downsample/pointcloud/debug/published_time,Best-Effort,5781,340.089,400.767,404.07,43.049,62.402,,,0.0
/localization/util/measurement_range/pointcloud/debug/published_time,Best-Effort,5779,293.01,370.806,400.268,49.55,58.567,,,0.0
/localization/util/voxel_grid_downsample/pointcloud/debug/published_time,Best-Effort,5780,322.882,399.645,403.46,49.658,69.4,,,0.0
/perception/object_recognition/detection/centerpoint/lidar_centerpoint/debug/cyclic_time_ms,Best-Effort,5781,341.314,395.075,397.832,37.834,54.762,,,0.0
/perception/object_recognition/detection/centerpoint/lidar_centerpoint/debug/pipeline_latency_ms,Best-Effort,5787,341.094,395.012,397.692,37.931,54.756,,,0.0
/perception/object_recognition/detection/centerpoint/lidar_centerpoint/debug/processing_time_ms,Best-Effort,5778,341.363,395.125,397.815,37.831,54.759,,,0.0
/perception/object_recognition/detection/centerpoint/objects/debug/published_time,Best-Effort,5783,341.307,395.121,397.856,37.838,54.74,,,0.0
/perception/object_recognition/detection/centerpoint/validation/objects/debug/published_time,Best-Effort,5787,341.147,395.036,397.76,37.93,54.76,,,0.0
/perception/object_recognition/detection/clustering/debug/clusters,Best-Effort,5783,341.709,395.462,398.214,37.835,54.703,,,0.0
/perception/object_recognition/detection/clustering/objects/debug/published_time,Best-Effort,5785,341.562,395.369,398.045,37.905,54.741,,,0.0
/perception/object_recognition/detection/clustering/objects_with_feature/debug/published_time,Best-Effort,5787,341.514,395.33,398.038,37.903,54.72,,,0.0
/perception/object_recognition/detection/clustering/shape_estimation/debug/cyclic_time_ms,Best-Effort,5783,341.698,395.433,398.135,37.824,54.727,,,0.0
/perception/object_recognition/detection/clustering/shape_estimation/debug/processing_time_ms,Best-Effort,5779,341.818,395.534,398.176,37.81,54.753,,,0.0
/perception/object_recognition/detection/clustering/voxel_grid_based_euclidean_cluster/debug/cyclic_time_ms,Best-Effort,5783,341.763,395.485,398.246,37.818,54.708,,,0.0
/perception/object_recognition/detection/clustering/voxel_grid_based_euclidean_cluster/debug/pipeline_latency_ms,Best-Effort,5779,341.844,395.531,398.305,37.804,54.734,,,0.0
/perception/object_recognition/detection/clustering/voxel_grid_based_euclidean_cluster/debug/processing_time_ms,Best-Effort,5785,341.628,395.43,398.191,37.894,54.705,,,0.0
/perception/object_recognition/detection/detection_by_tracker/debug/divided_objects,Best-Effort,5779,341.796,395.504,398.149,37.808,54.752,,,0.0
/perception/object_recognition/detection/detection_by_tracker/debug/initial_objects,Best-Effort,5786,341.552,395.351,398.081,37.897,54.728,,,0.0
/perception/object_recognition/detection/detection_by_tracker/debug/merged_objects,Best-Effort,5782,341.754,395.486,398.16,37.815,54.737,,,0.0
/perception/object_recognition/detection/detection_by_tracker/debug/tracked_objects,Best-Effort,5781,341.729,395.462,398.151,37.816,54.738,,,0.0
/perception/object_recognition/detection/detection_by_tracker/detection_by_tracker/debug/cyclic_time_ms,Best-Effort,5784,341.603,395.392,398.041,37.87,54.737,,,0.0
/perception/object_recognition/detection/detection_by_tracker/detection_by_tracker/debug/processing_time_ms,Best-Effort,5776,341.786,395.457,398.157,37.808,54.762,,,0.0
