topic,class,count,avg_lat_ms,p95_lat_ms,p99_lat_ms,jitter_std_ms,ipdv_std_ms,deadline_missrate_1ms,deadline_missrate_2ms,loss_rate
/control/command/actuation_cmd,Critical,11725,0.581,0.899,1.87,0.282,0.396,0.030192,,0.0
/control/command/control_cmd,Critical,11729,0.508,0.747,1.746,0.26,0.364,0.021059,,0.0
/control/command/emergency_cmd,Critical,11710,0.519,0.779,1.682,0.261,0.364,0.022545,,0.0
/control/command/gear_cmd,Critical,5857,0.562,0.854,2.154,0.334,0.475,0.042513,,0.0
/control/trajectory_follower/control_cmd,Critical,11723,0.511,0.731,1.537,0.253,0.355,0.019278,,0.0
/system/emergency/control_cmd,Critical,11843,0.269,0.48,0.627,0.108,0.157,0.0,,0.0
/system/emergency/gear_cmd,Critical,5920,0.248,0.487,0.603,0.118,0.166,0.0,,0.0
/system/emergency_holding,Critical,5909,0.415,0.706,0.819,0.156,0.22,0.000338,,0.0
/system/fail_safe/mrm_state,Critical,5913,0.328,0.574,0.734,0.136,0.192,0.0,,0.0
/control/command/hazard_lights_cmd,Soft Real-Time,5845,0.493,0.923,2.187,0.347,0.491,,0.011976,0.0
/control/command/turn_indicators_cmd,Soft Real-Time,5859,0.411,0.732,1.97,0.32,0.456,,0.009387,0.0
/localization/kinematic_state,Soft Real-Time,11841,13.331,32.342,42.003,6.429,8.8,,0.998395,0.0
/localization/pose_estimator/pose,Soft Real-Time,5916,23.386,43.392,51.605,8.772,13.228,,1.0,0.0
/localization/pose_estimator/pose_with_covariance,Soft Real-Time,5917,23.959,43.582,51.959,8.652,13.201,,1.0,0.0
/localization/pose_twist_fusion_filter/pose,Soft Real-Time,11830,6.542,16.272,32.256,5.446,7.848,,0.905495,0.0
/localization/pose_twist_fusion_filter/twist,Soft Real-Time,11853,9.649,18.057,32.769,5.826,8.017,,0.968953,0.0
/localization/pose_twist_fusion_filter/twist_with_covariance,Soft Real-Time,11855,9.407,18.05,32.751,5.879,8.03,,0.962801,0.0
/localization/pose_with_covariance,Soft Real-Time,11840,6.664,15.54,32.693,5.576,7.723,,0.917483,0.0
/localization/twist_estimator/twist_with_covariance,Soft Real-Time,11847,15.429,32.772,44.324,8.833,12.967,,0.99637,0.0
/sensing/gnss/pose_with_covariance,Soft Real-Time,1166,1.907,7.818,11.535,2.709,3.76,,0.290738,0.0
/sensing/imu/imu_data,Soft Real-Time,11858,1.819,8.353,13.554,3.071,4.47,,0.226092,0.0
/sensing/vehicle_velocity_converter/twist_with_covariance,Soft Real-Time,11839,12.426,32.568,44.202,9.434,13.604,,0.968747,0.0
/system/emergency/hazard_lights_cmd,Soft Real-Time,5920,0.497,1.411,2.659,0.528,0.748,,0.015709,0.0
/system/emergency/hazard_status,Soft Real-Time,5920,1.418,1.626,2.957,0.283,0.396,,0.031926,0.0
/system/mrm/emergency_stop/status,Soft Real-Time,11843,0.375,1.351,1.865,0.422,0.636,,0.009879,0.0
/vehicle/status/actuation_status,Soft Real-Time,11869,0.246,0.436,1.257,0.231,0.327,,0.004128,0.0
/vehicle/status/control_mode,Soft Real-Time,11869,0.336,0.639,1.601,0.278,0.393,,0.007667,0.0
/vehicle/status/gear_status,Soft Real-Time,11870,0.343,0.67,1.629,0.279,0.395,,0.007498,0.0
/vehicle/status/steering_status,Soft Real-Time,11868,0.344,0.626,1.791,0.292,0.409,,0.0091,0.0
/vehicle/status/velocity_status,Soft Real-Time,11870,0.285,0.496,1.239,0.23,0.325,,0.004297,0.0
/perception/object_recognition/detection/centerpoint/objects,Perception,5926,38.362,64.202,77.127,13.488,16.96,,,0.0
/perception/object_recognition/detection/detection_by_tracker/objects,Perception,5914,39.039,64.52,77.397,13.183,16.539,,,0.0
/perception/object_recognition/detection/objects,Perception,5934,37.899,63.444,76.61,13.252,16.57,,,0.0
